Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/22 ($m)"
817,AMC Networks,"1,883",-38,"$3,078",9.30%,$250.60,4.40%,"$5,749","$1,722"
818,Hyster-Yale Materials Handling,"8,100",-36,"$3,076",9.40%,-$173.00,-566.30%,"$1,970",$561
819,ChampionX,"7,000",167,"$3,075",61.80%,$113.30,-,"$3,535","$4,977"
820,Comfort Systems USA,"13,200",-44,"$3,074",7.60%,$143.30,-4.50%,"$2,209","$3,201"
821,EQT,693,-82,"$3,065",0.20%,"-$1,155.80",-,"$21,607","$12,955"
822,Brown & Brown,"12,023",-8,"$3,051",16.80%,$587.10,22.20%,"$9,795","$20,396"
823,LGI Homes,952,50,"$3,050",28.80%,$429.60,32.60%,"$2,352","$2,322"
824,Hyatt Hotels,"44,000",122,"$3,028",46.60%,-$222.00,-,"$12,603","$10,498"
825,Comerica,"7,442",-96,"$3,024",-2.30%,"$1,168.00",146.40%,"$94,616","$11,854"
826,Energizer Holdings,"6,000",-51,"$3,022",5.60%,$160.90,-,"$5,008","$2,192"
827,Hill-Rom Holdings,"10,000",-54,"$3,019",4.80%,$248.50,11.40%,"$4,999",-
828,Rackspace Technology,"6,600",-29,"$3,010",11.20%,-$218.30,-,"$6,329","$2,366"
829,Verisk Analytics,"9,367",-41,"$2,999",7.70%,$666.20,-6.50%,"$7,808","$34,616"
830,Spectrum Brands Holdings,"12,100",-209,"$2,998",-24.40%,$189.60,93.90%,"$5,340","$3,618"
831,Euronet Worldwide,"8,800",16,"$2,995",20.70%,$70.70,-,"$4,744","$6,658"
832,TEGNA,"6,200",-76,"$2,991",1.80%,$477.00,-1.20%,"$6,918","$4,963"
833,Vontier,"8,500",-32,"$2,991",10.60%,$413.00,20.80%,"$4,350","$4,088"
834,Cadence Design Systems,"9,298",-29,"$2,988",11.40%,$696.00,17.80%,"$4,386","$45,782"
835,Incyte,"2,094",-28,"$2,986",12.00%,$948.60,-,"$4,933","$17,578"
836,Match Group,"2,520",28,"$2,983",24.80%,$277.70,116.00%,"$5,063","$31,007"
837,Valvoline,"9,800",43,"$2,981",26.70%,$420.00,32.50%,"$3,191","$5,661"
838,EnerSys,"11,400",-107,"$2,978",-3.60%,$143.40,4.60%,"$3,463","$3,076"
839,Avaya Holdings,"8,063",-65,"$2,973",3.50%,-$13.00,-,"$5,985","$1,076"
840,UWM Holdings,"8,000",-311,"$2,970",-39.90%,$98.40,-97.10%,"$22,528","$7,224"
841,Zions Bancorp.,"9,685",-87,"$2,970",1.00%,"$1,129.00",109.50%,"$93,200","$9,958"
842,Quad/Graphics,"15,100",-96,"$2,960",-1.60%,$37.80,-,"$1,890",$389
843,MKS Instruments,"6,200",45,"$2,950",26.60%,$551.40,57.50%,"$4,540","$8,328"
844,Arista Networks,"2,993",45,"$2,948",27.20%,$840.90,32.50%,"$5,734","$42,773"
845,Interactive Brokers Group,"2,571",3,"$2,938",18.50%,$308.00,57.90%,"$109,113","$27,962"
846,Range Resources,527,120,"$2,930",48.80%,$411.80,-,"$6,661","$7,964"
847,Atkore,"3,700",-,"$2,928",65.90%,$587.90,286.00%,"$2,210","$4,416"
848,Cheesecake Factory,"45,800",111,"$2,928",47.60%,$72.40,-,"$2,798","$2,099"
849,First Solar,"4,800",-51,"$2,923",7.80%,$468.70,17.70%,"$7,414","$8,904"
850,Bio-Rad Laboratories,"7,900",-21,"$2,923",14.80%,"$4,245.90",11.60%,"$17,776","$16,982"
851,Cooper Cos.,"12,000",2,"$2,923",20.20%,"$2,944.70",1135.20%,"$9,606","$20,588"
852,Envista Holdings,"11,200",48,"$2,922",28.10%,$340.50,922.50%,"$6,574","$7,883"
853,Alight,"16,000",-,"$2,915",6.90%,-$60.00,-,"$10,988","$5,542"
854,Newmark Group,"6,169",129,"$2,906",52.60%,$750.70,837.70%,"$5,216","$3,010"
855,PC Connection,"2,542",-38,"$2,893",11.70%,$69.90,25.40%,"$1,083","$1,376"
856,Host Hotels & Resorts,160,-,"$2,890",78.40%,-$11.00,-,"$12,352","$13,876"
857,Boston Properties,743,-67,"$2,889",4.40%,$505.20,-42.10%,"$22,365","$20,180"
858,Western Midstream Partners,"1,127",-69,"$2,877",3.80%,$916.30,73.90%,"$11,273","$10,177"
859,Magellan Midstream Partners,"1,715",-4,"$2,870",18.20%,$982.00,20.20%,"$8,030","$10,422"
860,Hillenbrand,"10,500",-24,"$2,865",13.80%,$249.90,-,"$4,015","$3,216"
861,Donaldson,"13,100",-40,"$2,854",10.50%,$286.90,11.60%,"$2,400","$6,416"
862,Moog,"14,000",-91,"$2,852",-1.10%,$157.20,1608.00%,"$3,433","$2,815"
863,Hawaiian Electric Industries,"3,623",-41,"$2,850",10.50%,$246.20,24.40%,"$15,823","$4,630"
864,Five Below,"13,150",105,"$2,848",45.20%,$278.80,126.00%,"$2,881","$8,825"
865,Twilio,"7,867",-,"$2,842",61.30%,-$949.90,-,"$12,999","$29,917"
866,Univision Communciations,-,-36,"$2,841",11.80%,$133.70,-,"$14,055",-
867,Annaly Capital Management,171,-,"$2,836",1188.50%,"$2,389.90",-,"$76,764","$10,281"
868,Fleetcor Technologies,"9,700",-3,"$2,834",18.60%,$839.50,19.20%,"$13,405","$19,398"
869,West Pharmaceutical Services,"10,065",56,"$2,832",31.90%,$661.80,91.20%,"$3,314","$30,508"
870,Green Plains,859,107,"$2,827",47.00%,-$66.00,-,"$2,160","$1,663"
871,Cracker Barrel Old Country Store,"70,000",-38,"$2,821",11.80%,$254.50,-,"$2,392","$2,758"
872,Virtu Financial,973,-168,"$2,812",-13.20%,$476.90,-26.50%,"$10,320","$6,622"
873,Teleflex,"14,000",-41,"$2,810",10.70%,$485.40,44.70%,"$6,872","$16,642"
874,Zynga,"2,952",89,"$2,801",41.80%,-$104.20,-,"$6,359","$10,464"
875,Allegheny Technologies,"6,300",-126,"$2,800",-6.10%,-$38.20,-,"$4,285","$3,351"
876,AppLovin,"1,594",-,"$2,793",92.50%,$35.40,-,"$6,164","$20,697"
877,Waters,"7,800",-3,"$2,786",17.80%,$692.80,32.80%,"$3,095","$18,783"
878,Mutual of America Life Insurance,"1,146",-,"$2,785",83.60%,$50.70,-,"$28,325",-
879,Hovnanian Enterprises,"1,784",6,"$2,783",18.70%,$607.80,1093.50%,"$2,321",$372
880,Amica Mutual Insurance,"3,510",-87,"$2,778",1.80%,$117.10,-36.30%,"$6,937",-
881,Caleres,"7,200",54,"$2,778",31.20%,$137.00,-,"$1,844",$728
882,FTI Consulting,"6,780",-30,"$2,776",12.80%,$235.00,11.50%,"$3,101","$5,400"
883,Overstock.com,"1,350",-56,"$2,774",8.80%,$389.40,595.30%,"$1,066","$1,898"
884,Visteon,"10,000",-56,"$2,773",8.80%,$41.00,-,"$2,234","$3,056"
885,G-III Apparel Group,"3,250",64,"$2,767",34.60%,$200.60,752.00%,"$2,743","$1,296"
886,ITT,"9,900",-37,"$2,765",11.60%,$316.30,336.30%,"$3,565","$6,415"
887,IDEX,"7,536",-6,"$2,765",17.60%,$449.40,19.00%,"$4,917","$14,592"
888,Popular,"8,351",-73,"$2,765",6.20%,$934.90,84.50%,"$75,098","$6,252"
889,Roku,"3,000",-,"$2,765",55.50%,$242.40,-,"$4,082","$16,949"
890,Schnitzer Steel Industries,"3,167",-,"$2,759",61.10%,$165.10,-,"$1,494","$1,445"
891,Brookdale Senior Living,"28,545",-226,"$2,758",-22.10%,-$99.30,-221.10%,"$6,411","$1,308"
892,Werner Enterprises,"13,525",-21,"$2,734",15.30%,$259.10,53.20%,"$2,604","$2,698"
893,Americold Realty Trust,"16,275",64,"$2,715",36.60%,-$30.50,-224.10%,"$8,216","$7,490"
894,SkyWest,"15,205",36,"$2,714",27.60%,$111.90,-,"$7,126","$1,458"
895,Primerica,"3,170",14,"$2,710",22.20%,$373.40,-3.30%,"$16,123","$5,327"
896,McAfee,"2,262",-132,"$2,701",-7.10%,$849.00,-,"$3,422",-
897,Nu Skin Enterprises,"19,600",-77,"$2,696",4.40%,$147.30,-23.00%,"$1,907","$2,386"
898,Copart,"8,600",12,"$2,693",22.10%,$936.50,33.80%,"$4,562","$29,799"
899,PROG Holdings,"2,023",-53,"$2,678",7.80%,$243.60,-,"$1,622","$1,587"
900,Splunk,"7,000",8,"$2,674",19.90%,"-$1,339.10",-,"$5,791","$23,882"
901,MRC Global,"2,600",-75,"$2,666",4.10%,-$14.00,-,"$1,671",$995
902,Stericycle,"15,465",-96,"$2,647",-1.10%,-$27.80,-,"$5,473","$5,416"
903,Maxim Integrated Products,"7,100",9,"$2,633",20.10%,$827.30,26.40%,"$4,523",-
904,Ensign Group,"25,900",-45,"$2,628",9.40%,$194.70,14.20%,"$2,851","$4,958"
905,SM Energy,506,-,"$2,623",132.80%,$36.20,-,"$5,234","$4,747"
906,Kaiser Aluminum,"3,957",-,"$2,622",123.60%,-$18.50,-164.20%,"$2,422","$1,494"
907,Federated Mutual Insurance,"2,702",-10,"$2,612",14.10%,$320.10,61.50%,"$10,537",-
908,F5,"6,429",-26,"$2,603",10.70%,$331.20,7.70%,"$4,997","$12,691"
909,Steelcase,"11,400",-264,"$2,596",-30.30%,$26.10,-86.90%,"$2,354","$1,340"
910,Encore Wire,"1,440",-,"$2,593",103.00%,$541.40,611.80%,"$1,531","$2,250"
911,Guess,"12,500",79,"$2,592",38.10%,$171.40,-,"$2,556","$1,306"
912,Playtika Holding,"4,000",-40,"$2,583",8.90%,$308.50,235.00%,"$2,803","$7,966"
913,Pinterest,"3,225",-,"$2,578",52.30%,$316.40,-,"$3,537","$16,197"
914,WeWork,"4,400",-,"$2,570",-24.80%,"-$4,439.00",-,"$21,756","$4,937"
915,ManTech International,"9,800",-80,"$2,554",1.40%,$137.00,13.70%,"$2,640","$3,518"
916,BrightView Holdings,"20,150",-32,"$2,554",8.80%,$46.30,-,"$3,238","$1,352"
917,NortonLifeLock,"2,800",-286,"$2,552",-33.90%,$554.00,-85.70%,"$6,361","$15,442"
918,Deckers Outdoor,"3,400",11,"$2,546",19.40%,$382.60,38.50%,"$2,168","$7,458"
919,Griffon,"6,700",-61,"$2,542",5.60%,$79.20,48.30%,"$2,605","$1,128"
920,AMC Entertainment Holdings,"17,122",-,"$2,528",103.50%,"-$1,269.10",-,"$10,822","$12,733"
921,Curtiss-Wright,"7,800",-58,"$2,506",4.80%,$267.20,32.70%,"$4,104","$5,771"
922,MYR Group,"7,600",-16,"$2,498",11.20%,$85.00,44.70%,"$1,121","$1,595"
923,Kontoor Brands,"14,000",-,"$2,476",-,$195.40,-,"$1,533","$2,325"
924,Liberty Energy,"3,601",-,"$2,471",155.80%,-$179.20,-,"$2,041","$2,758"
925,Knights of Columbus,749,-47,"$2,468",4.90%,$130.30,37.20%,"$28,838",-
926,AdaptHealth,"10,700",-,"$2,465",133.40%,$156.20,-,"$5,251","$2,147"
927,MillerKnoll,"7,600",-84,"$2,465",-0.90%,$173.10,-,"$2,062","$2,618"
928,Equity Residential,"2,400",-104,"$2,464",-4.20%,"$1,332.90",45.90%,"$21,169","$33,803"
929,DexCom,"6,650",47,"$2,449",27.10%,$154.70,-68.70%,"$4,864","$49,825"
930,Rollins,"16,482",-9,"$2,424",12.20%,$350.70,34.50%,"$1,981","$17,261"
931,Genesco,"11,700",-,"$2,422",35.60%,$114.90,-,"$1,562",$869
932,Bruker,"7,765",26,"$2,418",21.70%,$277.10,75.60%,"$3,650","$9,695"
933,Joann,"13,530",-142,"$2,418",-12.50%,$56.70,-73.30%,"$2,362",$463
934,Wolverine World Wide,"4,400",-,"$2,415",34.80%,$68.60,-,"$2,586","$1,836"
935,Gray Television,"8,801",-68,"$2,413",1.30%,$90.00,-78.00%,"$11,108","$2,093"
936,Affiliated Managers Group,"4,050",15,"$2,412",19.00%,$565.70,179.80%,"$8,876","$5,607"
937,Summit Materials,"5,500",-50,"$2,410",3.30%,$152.20,10.30%,"$4,239","$3,688"
938,SLM,"1,450",-59,"$2,409",2.40%,"$1,160.50",31.80%,"$29,222","$5,130"
939,Belden,"7,400",25,"$2,408",22.10%,$63.90,-,"$3,418","$2,493"
940,Allison Transmission Holdings,"3,400",3,"$2,402",15.40%,$442.00,47.80%,"$4,457","$3,811"
941,Element Solutions,"5,300",-,"$2,400",29.50%,$203.30,168.60%,"$5,138","$5,435"
942,Portland General Electric,"2,839",-16,"$2,396",11.70%,$244.00,57.40%,"$9,494","$4,940"
943,REV Group,"6,800",-41,"$2,381",4.50%,$44.40,-,"$1,238",$843
944,Acadia Healthcare,"19,200",-235,"$2,377",-25.90%,$190.60,-,"$4,768","$5,891"
945,Alexandria Real Estate Equities,559,-55,"$2,374",2.90%,$571.20,-25.90%,"$30,219","$32,189"
946,Nordson,"6,813",-12,"$2,362",11.40%,$454.40,82.10%,"$3,791","$13,157"
947,NewMarket,"2,104",7,"$2,356",17.20%,$190.90,-29.40%,"$2,558","$3,347"
948,Ohio National Mutual,"1,082",-34,"$2,347",7.50%,-$85.20,-177495.80%,"$40,795",-
949,Stepan,"2,439",43,"$2,346",25.50%,$137.80,8.70%,"$2,066","$2,216"
950,Valhi,"2,847",39,"$2,335",24.30%,$127.20,130.40%,"$3,005",$829
951,Hilton Grand Vacations,"13,000",-,"$2,335",161.20%,$176.00,-,"$8,008","$6,248"
952,Cooper-Standard Holdings,"21,300",-82,"$2,330",-1.90%,-$322.80,-,"$2,227",$149
953,Etsy,"2,402",-,"$2,329",35.00%,$493.50,41.30%,"$3,832","$15,788"
954,Crocs,"5,770",-,"$2,313",66.90%,$725.70,132.00%,"$1,545","$4,676"
955,Olympic Steel,"1,642",-,"$2,312",87.40%,$121.10,-,"$1,024",$428
956,Signature Bank,"1,854",-,"$2,311",15.20%,$918.40,73.80%,"$118,445","$18,417"
957,SBA Communications,"1,596",-15,"$2,309",10.80%,$237.60,885.80%,"$9,802","$37,169"
958,Murphy Oil,696,7,"$2,300",16.70%,-$73.70,-,"$10,305","$6,275"
959,Entegris,"6,850",38,"$2,299",23.60%,$409.10,38.70%,"$3,192","$17,831"
960,AvalonBay Communities,"2,883",-64,"$2,295",-0.30%,"$1,004.30",21.30%,"$19,902","$34,710"
961,Saia,"11,600",-,"$2,289",25.60%,$253.20,83.10%,"$1,845","$6,438"
962,E.W. Scripps,"5,600",17,"$2,284",19.20%,$122.70,-54.40%,"$6,658","$1,718"
963,TTEC Holdings,"65,000",11,"$2,273",16.60%,$141.00,18.80%,"$1,997","$3,878"
964,Sun Communities,"5,455",-,"$2,273",62.50%,$380.20,188.80%,"$13,494","$20,373"
965,Alpha Metallurgical Resources,"3,500",-,"$2,259",36.70%,$288.80,-,"$1,858","$2,448"
966,GEO Group,"15,800",-83,"$2,257",-4.00%,$77.40,-31.50%,"$4,537",$810
967,Viasat,"5,800",-75,"$2,256",-2.30%,$3.70,-,"$5,350","$3,630"
968,Benchmark Electronics,"10,900",-18,"$2,255",9.80%,$35.80,154.50%,"$1,904",$881
969,Kar Auction Services,"8,928",-56,"$2,252",2.90%,$66.50,13200.00%,"$7,417","$2,187"
970,TTM Technologies,"16,100",-65,"$2,249",-,$54.40,-69.40%,"$3,026","$1,506"
971,Kirby,"5,125",-51,"$2,247",3.50%,-$247.00,-,"$5,399","$4,346"
972,Woodward,"7,200",-130,"$2,246",-10.00%,$208.60,-13.20%,"$4,091","$7,882"
973,Clear Channel Outdoor Holdings,"4,600",27,"$2,241",20.80%,-$433.80,-,"$5,299","$1,631"
974,Spire,"3,710",25,"$2,236",20.50%,$271.70,206.70%,"$9,356","$3,714"
975,Vista Outdoor,"5,900",-,"$2,226",26.70%,$266.00,-,"$1,765","$2,008"
976,Surgery Partners,"9,600",20,"$2,225",19.60%,-$70.90,-,"$6,118","$4,919"
977,LHC Group,"23,000",-30,"$2,220",7.60%,$115.70,3.70%,"$2,896","$5,230"
978,Amedisys,"21,000",-39,"$2,214",6.90%,$209.10,13.90%,"$1,857","$5,604"
979,Century Aluminum,"2,512",-,"$2,213",37.80%,-$167.10,-,"$1,570","$2,400"
980,Arch Resources,"3,303",-,"$2,208",50.50%,$337.60,-,"$2,117","$2,126"
981,Aerojet Rocketdyne Holdings,"5,000",-36,"$2,188",5.60%,$143.70,4.40%,"$2,434","$3,169"
982,Sleep Number,"5,388",16,"$2,185",17.70%,$153.70,10.50%,$920,"$1,124"
983,HNI,"8,000",-12,"$2,184",11.70%,$59.80,42.70%,"$1,498","$1,569"
984,Pure Storage,"4,200",-,"$2,181",29.50%,-$143.30,-,"$3,135","$10,238"
985,TrueBlue,"6,400",-,"$2,174",17.70%,$61.60,-,"$1,033",$996
986,Party City Holdco,"11,450",-,"$2,171",17.30%,-$6.50,-,"$2,712",$403
987,Dun & Bradstreet Holdings,"6,296",-,"$2,166",24.60%,-$71.70,-,"$9,997","$7,554"
988,Dropbox,"2,667",-8,"$2,158",12.70%,$335.80,-,"$3,091","$8,874"
989,New Jersey Resources,"1,251",-17,"$2,157",10.40%,$117.90,-39.20%,"$5,722","$4,405"
990,Acushnet Holdings,"6,500",-,"$2,148",33.20%,$178.90,86.30%,"$2,006","$2,914"
991,Harsco,"12,000",-,"$2,147",14.60%,-$3.20,-,"$3,054",$970
992,Beazer Homes USA,"1,052",-61,"$2,140",0.60%,$122.00,133.60%,"$2,079",$479
993,Chemed,"14,137",-49,"$2,139",2.90%,$268.60,-15.90%,"$1,343","$7,593"
994,Genesis Energy,"1,898",-,"$2,126",16.50%,-$165.10,-,"$5,906","$1,435"
995,BWX Technologies,"6,600",-63,"$2,124",-,$305.90,9.80%,"$2,501","$4,926"
996,Vizio Holding,800,-,"$2,124",4.00%,-$39.40,-138.40%,$936,"$1,705"
997,1-800-Flowers.com,"4,800",-,"$2,122",42.50%,$118.70,101.10%,"$1,077",$830
998,Cowen,"1,534",-,"$2,113",30.20%,$295.60,36.60%,"$8,749",$744
999,Ashland Global Holdings,"4,100",-130,"$2,111",-11.20%,$220.00,-,"$6,612","$5,602"
1000,DocuSign,"7,461",-,"$2,107",45.00%,-$70.00,-,"$2,541","$21,303"
